date,location,matched_cities,ratio,median_price,monthly_payment,median_hhi,interest_rate,cities_matched
2017-01-01,"Alma, MI","Alma, MI",14.38%,99900.0,396.44038521593825,33090.0,4.32,1
2018-01-01,"Alma, MI","Alma, MI",12.07%,87400.0,333.4058028135202,33135.0,3.99,1
2019-01-01,"Alma, MI","Alma, MI",11.93%,88800.0,362.062836135618,36408.0,4.55,1
2020-01-01,"Alma, MI","Alma, MI",14.93%,119900.0,443.6763648659127,35670.0,3.74,1
2021-01-01,"Alma, MI","Alma, MI",12.14%,124900.0,403.69294196471054,39898.0,2.67,1
2022-01-01,"Alma, MI","Alma, MI",15.63%,169000.0,578.0607610482366,44375.0,3.11,1
2023-01-01,"Alma, MI","Alma, MI",17.83%,149675.0,750.5495054542005,50506.0,6.42,1
2017-01-01,"Alpena, MI","Alpena, MI",12.61%,98125.0,389.396524517657,37064.0,4.32,1
2018-01-01,"Alpena, MI","Alpena, MI",12.75%,105000.0,400.54472878054486,37706.0,3.99,1
2019-01-01,"Alpena, MI","Alpena, MI",15.28%,124925.0,509.35472752524856,40012.0,4.55,1
2020-01-01,"Alpena, MI","Alpena, MI",14.41%,124200.0,459.588027659269,38260.0,3.74,1
2021-01-01,"Alpena, MI","Alpena, MI",13.26%,137400.0,444.09455745357263,40202.0,2.67,1
2022-01-01,"Alpena, MI","Alpena, MI",12.71%,135000.0,461.7645132633843,43613.0,3.11,1
2023-01-01,"Alpena, MI","Alpena, MI",22.96%,181600.0,910.6383176247391,47604.0,6.42,1
2017-01-01,"Altoona, PA","Altoona, PA",13.94%,112950.0,448.2276427441464,38592.0,4.32,1
2018-01-01,"Altoona, PA","Altoona, PA",15.66%,138650.0,528.9097775754528,40536.0,3.99,1
2019-01-01,"Altoona, PA","Altoona, PA",15.00%,126950.0,517.6112280114494,41403.0,4.55,1
2020-01-01,"Altoona, PA","Altoona, PA",13.12%,124850.0,461.9932790117532,42244.0,3.74,1
2021-01-01,"Altoona, PA","Altoona, PA",12.30%,145900.0,471.5676559859989,46010.0,2.67,1
2022-01-01,"Altoona, PA","Altoona, PA",11.79%,144900.0,495.6272442360324,50435.0,3.11,1
2023-01-01,"Altoona, PA","Altoona, PA",16.78%,139900.0,701.5324924873403,50171.0,6.42,1
2017-01-01,"Altus, OK","Altus, OK",15.52%,134725.0,534.6389479301029,41340.0,4.32,1
2018-01-01,"Altus, OK","Altus, OK",13.07%,120000.0,457.76540432062274,42035.0,3.99,1
2019-01-01,"Altus, OK","Altus, OK",14.32%,139625.0,569.2908051287799,47691.0,4.55,1
2020-01-01,"Altus, OK","Altus, OK",10.50%,113500.0,419.99389001068465,47990.0,3.74,1
2021-01-01,"Altus, OK","Altus, OK",9.31%,125000.0,404.0161548886214,52085.0,2.67,1
2022-01-01,"Altus, OK","Altus, OK",9.79%,135000.0,461.7645132633843,56620.0,3.11,1
2023-01-01,"Altus, OK","Altus, OK",16.19%,149500.0,749.6719630225688,55550.0,6.42,1
2017-01-01,"Amarillo, TX","Amarillo, TX",18.60%,199950.0,793.4760262655341,51198.0,4.32,1
2018-01-01,"Amarillo, TX","Amarillo, TX",19.08%,218975.0,835.3264950925695,52543.0,3.99,1
2019-01-01,"Amarillo, TX","Amarillo, TX",21.13%,227700.0,928.3976102261286,52725.0,4.55,1
2020-01-01,"Amarillo, TX","Amarillo, TX",19.07%,227344.0,841.2607130448379,52941.0,3.74,1
2021-01-01,"Amarillo, TX","Amarillo, TX",19.39%,275900.0,891.7444570701653,55174.0,2.67,1
